"源文件","文件类型","文件路径","SHA256","文件大小","页数/段落数","应录条款数","正式CSV条款数","PDF候选条款数","处理状态","说明","来源平台","官方详情页URL","官方下载页URL","正式法规/标准名称","正式文号/标准号","发布机关","发布日期","实施日期","现行状态","本地文件名","源文件SHA256","核验人","核验时间"
"中华人民共和国安全生产法_20210610.docx","DOCX","本地源文件未纳入仓库","3c83acf841ebaacae3ea4fdcd798c24a8dfe2454c8f45f4d5ad05662fd557035","36238","274","119","119","0","已写入正式CSV","按第X条自动拆分；已按国家法律法规数据库截图核验官方详情页、正式名称、正式文号、发布机关、发布日期、施行日期和现行状态。","国家法律法规数据库","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","全国人民代表大会常务委员会","2021-06-10","2021-09-01","现行有效","中华人民共和国安全生产法_20210610.docx","3c83acf841ebaacae3ea4fdcd798c24a8dfe2454c8f45f4d5ad05662fd557035","Codex","2026-06-23"
"中华人民共和国消防法_20210429.docx","DOCX","本地源文件未纳入仓库","c6af5a32dec27d68cc88a7bc1ca05ded9be42a33b3180ca4d583c856623b8549","28736","209","74","74","0","已写入正式CSV","按第X条自动拆分；已按国家法律法规数据库截图核验官方详情页、正式名称、正式文号、发布机关、发布日期、施行日期和现行状态。","国家法律法规数据库","https://flk.npc.gov.cn/detail?id=ff8081817ab22e0c017abd909312060a&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E6%B6%88%E9%98%B2%E6%B3%95","https://flk.npc.gov.cn/detail?id=ff8081817ab22e0c017abd909312060a&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E6%B6%88%E9%98%B2%E6%B3%95","中华人民共和国消防法","中华人民共和国主席令第八十一号","全国人民代表大会常务委员会","2021-04-29","2021-04-29","现行有效","中华人民共和国消防法_20210429.docx","c6af5a32dec27d68cc88a7bc1ca05ded9be42a33b3180ca4d583c856623b8549","Codex","2026-06-23"
"中华人民共和国突发事件应对法_20240628.docx","DOCX","本地源文件未纳入仓库","db899a408c84c4f1fa819a6104fb70ec990e62fb1524710a8597c008791b4d0e","33787","224","106","106","0","已写入正式CSV","按第X条自动拆分；已按国家法律法规数据库截图核验官方详情页、正式名称、正式文号、发布机关、发布日期、施行日期和现行状态。","国家法律法规数据库","https://flk.npc.gov.cn/detail?id=ff8081818d6a424b01905f13edba2efb&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E7%AA%81%E5%8F%91%E4%BA%8B%E4%BB%B6%E5%BA%94%E5%AF%B9%E6%B3%95","https://flk.npc.gov.cn/detail?id=ff8081818d6a424b01905f13edba2efb&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E7%AA%81%E5%8F%91%E4%BA%8B%E4%BB%B6%E5%BA%94%E5%AF%B9%E6%B3%95","中华人民共和国突发事件应对法","中华人民共和国主席令第二十五号","全国人民代表大会常务委员会","2024-06-28","2024-11-01","现行有效","中华人民共和国突发事件应对法_20240628.docx","db899a408c84c4f1fa819a6104fb70ec990e62fb1524710a8597c008791b4d0e","Codex","2026-06-23"
"安全生产许可证条例_20140729.docx","DOCX","本地源文件未纳入仓库","507d70c524576ca08ea223b3552ed7185c88fbc0925a77125ecc7c3f964268e8","18293","52","24","24","0","已写入正式CSV","按第X条自动拆分；已按国家法律法规数据库截图核验官方详情页、正式名称、正式文号、发布机关、发布日期和现行状态。FLK截图实施日期字段为空，CSV实施日期暂沿用本地文件可核验日期2004-01-13，保留待进一步确认。","国家法律法规数据库","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f40ee9ee50c0f&field=&type=&title=%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E8%AE%B8%E5%8F%AF%E8%AF%81%E6%9D%A1%E4%BE%8B","安全生产许可证条例","国务院令第397号","国务院","2014-07-29","2004-01-13","现行有效","安全生产许可证条例_20140729.docx","507d70c524576ca08ea223b3552ed7185c88fbc0925a77125ecc7c3f964268e8","Codex","2026-06-23"
"生产安全事故应急条例_20190217.docx","DOCX","本地源文件未纳入仓库","c2fc343e8c2948fd45764711abace993b7fa8828c2865581e1609a0d4d5f7284","22590","85","35","35","0","已写入正式CSV","按第X条自动拆分；已按国家法律法规数据库截图核验官方详情页、正式名称、正式文号、发布机关、发布日期、施行日期和现行状态。","国家法律法规数据库","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","https://flk.npc.gov.cn/detail?id=ff8080816f3cbb3c016f4143a1591f56&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E5%BA%94%E6%80%A5%E6%9D%A1%E4%BE%8B","生产安全事故应急条例","国务院令第708号","国务院","2019-02-17","2019-04-01","现行有效","生产安全事故应急条例_20190217.docx","c2fc343e8c2948fd45764711abace993b7fa8828c2865581e1609a0d4d5f7284","Codex","2026-06-23"
"生产安全事故报告和调查处理条例_20070409.docx","DOCX","本地源文件未纳入仓库","008939c3a5a68cdd05184b5ef957a5051b912634c7bdea8bd18043d069dda189","22518","127","46","46","0","已写入正式CSV","按第X条自动拆分；已按国家法律法规数据库截图核验官方详情页、正式名称、正式文号、发布机关、发布日期、施行日期和现行状态。","国家法律法规数据库","https://flk.npc.gov.cn/detail?id=ff8080816f3e98bd016f41f5b268023f&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E6%8A%A5%E5%91%8A%E5%92%8C%E8%B0%83%E6%9F%A5%E5%A4%84%E7%90%86%E6%9D%A1%E4%BE%8B","https://flk.npc.gov.cn/detail?id=ff8080816f3e98bd016f41f5b268023f&field=&type=&title=%E7%94%9F%E4%BA%A7%E5%AE%89%E5%85%A8%E4%BA%8B%E6%95%85%E6%8A%A5%E5%91%8A%E5%92%8C%E8%B0%83%E6%9F%A5%E5%A4%84%E7%90%86%E6%9D%A1%E4%BE%8B","生产安全事故报告和调查处理条例","国务院令第493号","国务院","2007-04-09","2007-06-01","现行有效","生产安全事故报告和调查处理条例_20070409.docx","008939c3a5a68cdd05184b5ef957a5051b912634c7bdea8bd18043d069dda189","Codex","2026-06-23"
"GB+2811-2019.pdf","PDF","本地源文件未纳入仓库","24c751ec76c13f09a25d86bf53d43f0a152cda77161539f18eb215d6f524d874","873342","15","4","87","4","已写入正式CSV（图片核验）","原PDF文本层不可作为可靠入库源；用户提供15页清晰图片后，已人工核对并导入正文1-7、表1-表3、规范性附录A/B及图A.1/A.2可确认文字。官方题录唯一命中GB 2811-2019。 官方下载页未硬填动态链接，保留本地文件SHA256和官方详情页溯源。","全国标准信息公共服务平台","https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=ACF9D1C05F42220BA2B24036E5904505","","头部防护 安全帽","GB 2811-2019","国家市场监督管理总局、国家标准化管理委员会","2019-12-31","2020-07-01","现行","GB+2811-2019.pdf","24c751ec76c13f09a25d86bf53d43f0a152cda77161539f18eb215d6f524d874","Codex","2026-06-23"
"GB+3608-2025.pdf","PDF","本地源文件未纳入仓库","105eaddeeda186731308a27482ece6412cf958f565b45ba9c782fbf47fef11d3","322277","15","18","13","18","已写入正式CSV","PDF文本逐条核对后写入正式CSV；表格条款已按可追溯编号合并清洗。 官方下载页未硬填动态链接，保留本地文件SHA256和官方详情页溯源。","全国标准信息公共服务平台","https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=D2C19D86441622FA0450DA7AB59F5929","","高处作业分级","GB 3608-2025","国家市场监督管理总局、国家标准化管理委员会","2025-10-05","2026-05-01","现行","GB+3608-2025.pdf","105eaddeeda186731308a27482ece6412cf958f565b45ba9c782fbf47fef11d3","Codex","2026-06-23"
"GB+4351-2023.pdf","PDF","本地源文件未纳入仓库","c3d2ec02dbe31e94541b7c7e62610b5c47990988177445bbb2f912c2ab67c491","1902855","71","316","262","316","已写入正式CSV（正文/可确认表格，附录待复核）","正文1-12.3及可确认正文表格已清洗后写入正式CSV；图4说明片段、附录A-F及附录内表图暂未纳入，待清晰来源复核。 官方下载页未硬填动态链接，保留本地文件SHA256和官方详情页溯源。","全国标准信息公共服务平台","https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=6E00B712AEF18F3652F3040633C0FF4C","","手提式灭火器","GB 4351-2023","国家市场监督管理总局、国家标准化管理委员会","2023-12-28","2025-01-01","现行","GB+4351-2023.pdf","c3d2ec02dbe31e94541b7c7e62610b5c47990988177445bbb2f912c2ab67c491","Codex","2026-06-23"
"GB+6095-2021.pdf","PDF","本地源文件未纳入仓库","0c4019565defa3a9997faf9d66951570e9fc57dfb60b3c97b6e81c66842b50b8","1660978","22","0","0","0","当前源已放弃，待重新提供可靠素材","当前PDF文本层不可作为可靠入库源，已放弃本地文件条文抽取；请重新提供可复制中文PDF、Word或官网HTML文本。 官方下载页未硬填动态链接，保留本地文件SHA256和官方详情页溯源。","全国标准信息公共服务平台","https://std.samr.gov.cn/gb/search/gbDetailed?id=CAEA4CD20E988EECE05397BE0A0AB82F","","坠落防护 安全带","GB 6095-2021","国家市场监督管理总局、国家标准化管理委员会","2021-08-10","2022-09-01","现行","GB+6095-2021.pdf","0c4019565defa3a9997faf9d66951570e9fc57dfb60b3c97b6e81c66842b50b8","Codex","2026-06-23"
