"分类","法规名称","文号/标准号","条款号","条文内容","关键词","官方来源URL","发布机关","施行日期","现行状态","备注"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第一条","第一条 为了加强安全生产工作，防止和减少生产安全事故，保障人民群众生命和财产安全，促进经济社会持续健康发展，制定本法。","安全生产,事故,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第二条","第二条 在中华人民共和国领域内从事生产经营活动的单位（以下统称生产经营单位）的安全生产，适用本法；有关法律、行政法规对消防安全和道路交通安全、铁路交通安全、水上交通安全、民用航空安全以及核与辐射安全、特种设备安全另有规定的，适用其规定。","安全生产,消防,特种设备,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第三条","第三条 安全生产工作坚持中国共产党的领导。
安全生产工作应当以人为本，坚持人民至上、生命至上，把保护人民生命安全摆在首位，树牢安全发展理念，坚持安全第一、预防为主、综合治理的方针，从源头上防范化解重大安全风险。
安全生产工作实行管行业必须管安全、管业务必须管安全、管生产经营必须管安全，强化和落实生产经营单位主体责任与政府监管责任，建立生产经营单位负责、职工参与、政府监管、行业自律和社会监督的机制。","安全生产,风险,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第四条","第四条 生产经营单位必须遵守本法和其他有关安全生产的法律、法规，加强安全生产管理，建立健全全员安全生产责任制和安全生产规章制度，加大对安全生产资金、物资、技术、人员的投入保障力度，改善安全生产条件，加强安全生产标准化、信息化建设，构建安全风险分级管控和隐患排查治理双重预防机制，健全风险防范化解机制，提高安全生产水平，确保安全生产。
平台经济等新兴行业、领域的生产经营单位应当根据本行业、领域的特点，建立健全并落实全员安全生产责任制，加强从业人员安全生产教育和培训，履行本法和其他法律、法规规定的有关安全生产义务。","安全生产,隐患,风险,培训,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第五条","第五条 生产经营单位的主要负责人是本单位安全生产第一责任人，对本单位的安全生产工作全面负责。其他负责人对职责范围内的安全生产工作负责。","安全生产,责任,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第六条","第六条 生产经营单位的从业人员有依法获得安全生产保障的权利，并应当依法履行安全生产方面的义务。","安全生产,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第七条","第七条 工会依法对安全生产工作进行监督。
生产经营单位的工会依法组织职工参加本单位安全生产工作的民主管理和民主监督，维护职工在安全生产方面的合法权益。生产经营单位制定或者修改有关安全生产的规章制度，应当听取工会的意见。","安全生产,维护,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第八条","第八条 国务院和县级以上地方各级人民政府应当根据国民经济和社会发展规划制定安全生产规划，并组织实施。安全生产规划应当与国土空间规划等相关规划相衔接。
各级人民政府应当加强安全生产基础设施建设和安全生产监管能力建设，所需经费列入本级预算。
县级以上地方各级人民政府应当组织有关部门建立完善安全风险评估与论证机制，按照安全风险管控要求，进行产业规划和空间布局，并对位置相邻、行业相近、业态相似的生产经营单位实施重大安全风险联防联控。","安全生产,风险,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第九条","第九条 国务院和县级以上地方各级人民政府应当加强对安全生产工作的领导，建立健全安全生产工作协调机制，支持、督促各有关部门依法履行安全生产监督管理职责，及时协调、解决安全生产监督管理中存在的重大问题。
乡镇人民政府和街道办事处，以及开发区、工业园区、港区、风景区等应当明确负责安全生产监督管理的有关工作机构及其职责，加强安全生产监管力量建设，按照职责对本行政区域或者管理区域内生产经营单位安全生产状况进行监督检查，协助人民政府有关部门或者按照授权依法履行安全生产监督管理职责。","安全生产,检查,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
"工贸行业安全","中华人民共和国安全生产法","中华人民共和国主席令第八十八号","第十条","第十条 国务院应急管理部门依照本法，对全国安全生产工作实施综合监督管理；县级以上地方各级人民政府应急管理部门依照本法，对本行政区域内安全生产工作实施综合监督管理。
国务院交通运输、住房和城乡建设、水利、民航等有关部门依照本法和其他有关法律、行政法规的规定，在各自的职责范围内对有关行业、领域的安全生产工作实施监督管理；县级以上地方各级人民政府有关部门依照本法和其他有关法律、法规的规定，在各自的职责范围内对有关行业、领域的安全生产工作实施监督管理。对新兴行业、领域的安全生产监督管理职责不明确的，由县级以上地方各级人民政府按照业务相近的原则确定监督管理部门。
应急管理部门和对有关行业、领域的安全生产工作实施监督管理的部门，统称负有安全生产监督管理职责的部门。负有安全生产监督管理职责的部门应当相互配合、齐抓共管、信息共享、资源共用，依法加强安全生产监督管理工作。","安全生产,应急,中华人民共和国安全生产法","https://flk.npc.gov.cn/detail?id=ff8081817a66b816017a7956b7db0ad4&field=&type=&title=%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%AE%89%E5%85%A8%E7%94%9F%E4%BA%A7%E6%B3%95","全国人民代表大会常务委员会","2021-09-01","现行有效","用户提供官网下载文件，按本地原文导入；源文件=中华人民共和国安全生产法_20210610.docx；抽取方式=DOCX按第X条拆分；官方题录已按国家法律法规数据库核验；核验时间=2026-06-23；核验人=Codex"
